Unnamed: 0,measure,region_name,score,task,subject_id,_age_raw,dataset,age_months
0,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_1,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
1,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_2,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
2,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_3,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
3,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_4,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
4,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_5,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
5,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_6,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
6,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_Striate_1,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
7,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_7,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
8,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_8,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
9,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_9,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
10,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_10,9.0,aeronaut,rest_movie_01,19,adult_restmovie,228
11,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_11,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
12,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_1,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
13,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_2,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
14,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_3,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
15,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_4,4.0,aeronaut,rest_movie_01,19,adult_restmovie,228
16,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_5,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
17,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_StriCal_1,9.0,aeronaut,rest_movie_01,19,adult_restmovie,228
18,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_StriCal_2,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
19,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_1,7.0,aeronaut,rest_movie_01,19,adult_restmovie,228
20,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_2,10.0,aeronaut,rest_movie_01,19,adult_restmovie,228
21,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_3,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
22,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_4,8.0,aeronaut,rest_movie_01,19,adult_restmovie,228
