subject,rho,pval,zscore,task,dataset,age,age_months,movie_FD,Age,AgeGroup1,sex,Unnamed: 0,session
sub-127,0.250200899470443,0.0009990009990009,4.982019027869536,black,narratives,32.0,384.0,,,,,,
sub-265,0.2505681684810018,0.0009990009990009,5.019421307544139,black,narratives,20.0,240.0,,,,,,
sub-267,0.3335511857229775,0.0009990009990009,6.868484570073117,black,narratives,27.0,324.0,,,,,,
sub-272,-0.128539001115339,0.0069930069930069,-2.751928938509802,black,narratives,19.0,228.0,,,,,,
sub-273,0.2545288363785856,0.0009990009990009,4.9641212036931055,black,narratives,20.0,240.0,,,,,,
sub-274,0.220993752270819,0.0009990009990009,4.464014450693028,black,narratives,50.0,600.0,,,,,,
sub-275,0.2824285111111793,0.0009990009990009,5.724021844645975,black,narratives,19.0,228.0,,,,,,
sub-276,0.3975028358208567,0.0009990009990009,8.269124937345001,black,narratives,21.0,252.0,,,,,,
sub-277,-0.0065248419630667,0.8961038961038961,-0.1254594991002464,black,narratives,19.0,228.0,,,,,,
sub-279,0.2510111254875281,0.0009990009990009,5.001898824820872,black,narratives,20.0,240.0,,,,,,
sub-281,0.1560004801579845,0.0029970029970029,3.321331944438753,black,narratives,22.0,264.0,,,,,,
sub-282,0.2116760724664269,0.0009990009990009,4.184011019281641,black,narratives,19.0,228.0,,,,,,
sub-283,0.2460842656156644,0.0009990009990009,5.056762018321972,black,narratives,19.0,228.0,,,,,,
sub-284,0.3995754799127071,0.0009990009990009,8.201296665439653,black,narratives,21.0,252.0,,,,,,
sub-285,0.213878940722187,0.0009990009990009,4.216316605225895,black,narratives,22.0,264.0,,,,,,
sub-286,0.2258910723184482,0.0009990009990009,4.600046029796957,black,narratives,18.0,216.0,,,,,,
sub-287,0.0701389930677245,0.1538461538461538,1.4027588193904013,black,narratives,21.0,252.0,,,,,,
sub-288,0.3033400980393491,0.0009990009990009,5.930412607523073,black,narratives,25.0,300.0,,,,,,
sub-289,0.2563136300615424,0.0009990009990009,5.1814671335938085,black,narratives,18.0,216.0,,,,,,
sub-290,0.3686290176532526,0.0009990009990009,7.484147518706866,black,narratives,26.0,312.0,,,,,,
sub-291,0.2831688866910865,0.0009990009990009,5.373585140050693,black,narratives,18.0,216.0,,,,,,
sub-292,0.1834996257042201,0.0029970029970029,3.506169797859981,black,narratives,18.0,216.0,,,,,,
sub-293,0.2899554732219904,0.0009990009990009,5.666964947193192,black,narratives,20.0,240.0,,,,,,
sub-294,0.2227663473538092,0.0009990009990009,4.6012931751917,black,narratives,19.0,228.0,,,,,,
sub-295,0.0672522274597456,0.1598401598401598,1.3603537967809676,black,narratives,18.0,216.0,,,,,,
sub-296,-0.0169348118216779,0.7412587412587412,-0.2952892483440171,black,narratives,38.0,456.0,,,,,,
sub-297,0.2726895359265188,0.0009990009990009,5.501236035963176,black,narratives,21.0,252.0,,,,,,
sub-299,0.2199388314727795,0.0009990009990009,4.515481933386365,black,narratives,18.0,216.0,,,,,,
sub-300,0.2586272701774066,0.0009990009990009,5.2347587966189,black,narratives,53.0,636.0,,,,,,
sub-301,0.3605657250298341,0.0009990009990009,7.132051755606353,black,narratives,19.0,228.0,,,,,,
