Unnamed: 0,measure,region_name,score,task,subject_id,dataset,age_months
83200,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83201,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83202,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83203,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_4,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83204,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_5,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83205,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_6,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83206,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_Striate_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83207,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_7,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83208,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_8,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83209,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_9,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83210,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_10,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83211,TPHATE_DiffOp_IDE,17Networks_LH_VisCent_ExStr_11,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83212,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83213,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83214,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83215,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83216,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrInf_5,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83217,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_StriCal_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83218,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_StriCal_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83219,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83220,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_2,10.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83221,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83222,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_4,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83223,TPHATE_DiffOp_IDE,17Networks_LH_VisPeri_ExStrSup_5,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83224,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83225,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83226,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_3,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83227,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_4,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83228,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_5,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83229,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_6,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83230,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_7,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83231,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_8,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83232,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_9,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83233,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_10,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83234,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_11,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83235,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_12,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83236,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_13,3.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83237,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_14,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83238,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_15,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83239,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_16,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83240,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_17,3.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83241,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_18,3.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83242,TPHATE_DiffOp_IDE,17Networks_LH_SomMotA_19,3.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83243,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Aud_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83244,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Aud_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83245,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Ins_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83246,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_S2_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83247,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_S2_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83248,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Aud_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83249,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Aud_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83250,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_S2_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83251,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_S2_4,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83252,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_S2_5,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83253,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_S2_6,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83254,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Cent_1,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83255,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Cent_2,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83256,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Cent_3,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83257,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Cent_4,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83258,TPHATE_DiffOp_IDE,17Networks_LH_SomMotB_Cent_5,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83259,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_TempOcc_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83260,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_TempOcc_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83261,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_TempOcc_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83262,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_TempOcc_4,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83263,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_ParOcc_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83264,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_ParOcc_2,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83265,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83266,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83267,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83268,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83269,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_5,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83270,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_6,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83271,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnA_SPL_7,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83272,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_1,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83273,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83274,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83275,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_4,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83276,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_5,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83277,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_6,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83278,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_7,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83279,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_8,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83280,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_9,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83281,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_FEF_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83282,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_FEF_2,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83283,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_FEF_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83284,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PrCv_1,10.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83285,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParOper_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83286,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParOper_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83287,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParOper_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83288,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83289,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83290,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83291,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83292,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrOper_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83293,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrOper_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83294,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParMed_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
