Unnamed: 0,region_name,task,subject_id,measure,score,dataset,_age_raw,age_months
0,17Networks_LH_VisCent_ExStr_1,bronx,sub-127,ISC,0.0541205889575827,narratives,32,384
1,17Networks_LH_VisCent_ExStr_2,bronx,sub-127,ISC,0.0554199965717031,narratives,32,384
2,17Networks_LH_VisCent_ExStr_3,bronx,sub-127,ISC,0.093899454749525,narratives,32,384
3,17Networks_LH_VisCent_ExStr_4,bronx,sub-127,ISC,0.0564366270275839,narratives,32,384
4,17Networks_LH_VisCent_ExStr_5,bronx,sub-127,ISC,0.0076402873624562,narratives,32,384
5,17Networks_LH_VisCent_ExStr_6,bronx,sub-127,ISC,0.0368176110777516,narratives,32,384
6,17Networks_LH_VisCent_Striate_1,bronx,sub-127,ISC,-0.0430682708388792,narratives,32,384
7,17Networks_LH_VisCent_ExStr_7,bronx,sub-127,ISC,0.007955162260296,narratives,32,384
8,17Networks_LH_VisCent_ExStr_8,bronx,sub-127,ISC,0.0439401907514609,narratives,32,384
9,17Networks_LH_VisCent_ExStr_9,bronx,sub-127,ISC,0.0440877763696622,narratives,32,384
10,17Networks_LH_VisCent_ExStr_10,bronx,sub-127,ISC,-0.0279143265258801,narratives,32,384
11,17Networks_LH_VisCent_ExStr_11,bronx,sub-127,ISC,0.0458383686174976,narratives,32,384
12,17Networks_LH_VisPeri_ExStrInf_1,bronx,sub-127,ISC,0.0173554993606088,narratives,32,384
13,17Networks_LH_VisPeri_ExStrInf_2,bronx,sub-127,ISC,-0.0262962463478365,narratives,32,384
14,17Networks_LH_VisPeri_ExStrInf_3,bronx,sub-127,ISC,0.0041271428423,narratives,32,384
15,17Networks_LH_VisPeri_ExStrInf_4,bronx,sub-127,ISC,0.0181983438833575,narratives,32,384
16,17Networks_LH_VisPeri_ExStrInf_5,bronx,sub-127,ISC,0.021661904932233,narratives,32,384
17,17Networks_LH_VisPeri_StriCal_1,bronx,sub-127,ISC,-0.0956072589898407,narratives,32,384
18,17Networks_LH_VisPeri_StriCal_2,bronx,sub-127,ISC,-0.0606906188665869,narratives,32,384
19,17Networks_LH_VisPeri_ExStrSup_1,bronx,sub-127,ISC,0.0537124964471747,narratives,32,384
20,17Networks_LH_VisPeri_ExStrSup_2,bronx,sub-127,ISC,-0.0708840547319757,narratives,32,384
